,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
300,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_FR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_EE",,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_AM","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TZ",,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_MX","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_XK",,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SI","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BN",,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-ON","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_KG",,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_MK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_KZ",,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_AL","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IQ",,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KH","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_RER",,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-LN","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ES",,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_US-HICC","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_KE",,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_TM","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_LU",,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_JM",,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp facade installation, multi-Si, laminated, integrated | electricity, low voltage | Cutoff, S_RoW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_JO",,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_GT","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TR",,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_ES","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NP",,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-SD","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_ZW",,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_DK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NE",,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp facade installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_OM",,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IL","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_AO",,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted | electricity, low voltage | Cutoff, S_RoW","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SY",,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_AU","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_RME",,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-NM","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_PT",,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-CQ","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IE",,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-NT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SY",,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IN-Southern grid","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_US-HICC",,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_LT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_DO",,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_ID","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_LV",,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-YK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_MM",,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SY","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ZA",,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-ZJ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BR-Southern grid",,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_RO","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_PY",,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_AT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BY",,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_RoW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_TJ",,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-NB","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KW",,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CD","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_FR",,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-PE",,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-HA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BG",,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_DE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-HICC",,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HL","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AT",,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_FR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_NO",,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_GB","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CO",,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-BJ","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_UA",,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SD","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_HN",,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_HU","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BJ",,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_HT",,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_US-TRE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BO",,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-WB","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_LU",,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_RAF","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_LU",,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg | electricity, low voltage | Cutoff, S_RoW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CW",,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MY","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BJ",,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_MA",,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BR-Northern grid","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_RAF",,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_QA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_HK",,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_IT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CO",,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AR","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_MX",,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-SK","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TJ",,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_UA","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-NB",,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CL","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_HN",,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_RU","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MY",,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CN-SGCC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ME",,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BA",,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,"natural gas, burned in solid oxide fuel cell 125kWe, future | electricity, low voltage | Cutoff, S_CH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AU",,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_LY","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CG",,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_MY","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-MB",,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KG","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KG",,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated | electricity, low voltage | Cutoff, S_CH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_HU",,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AO","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-YK",,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_UZ","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KP",,,,,,,,,,,,,,,,,,,,
